nome,disciplina,nome_Docente,ano,nota,situacao
Gabriel Bruno,Projeto Integrado,,2006,8.8,APROVADO POR MÉDIA
Gabriel Bruno,Prototipagem em Papel,,2007,9.0,APROVADO POR MÉDIA
Gabriel Bruno,SemiÃ³tica,,2009,9.0,APROVADO POR MÉDIA
Gabriel Bruno,Storytelling Visual,,2005,9.15,APROVADO POR MÉDIA
Gabriel Bruno,Tecnicas de Iluminacao,,2009,10.0,APROVADO POR MÉDIA
Gabriel Bruno,Teoria da Cor,,2008,6.75,APROVADO
Gabriel Bruno,Teoria do Design,,2008,8.75,APROVADO POR MÉDIA
Gabriel Bruno,Tipografia,,2006,7.85,APROVADO POR MÉDIA
Hugo Nicolas,Cultura Visual,Patricia Nunes,2019,,REPROVADO POR FALTA
Hugo Nicolas,DESLIGAMENTO,,2020,,
Hugo Nicolas,Design de Visualizacao de Informacoes,Andre Almeida,2019,,REPROVADO POR FALTA
Hugo Nicolas,Ergonomia,Pedro Oliveira,2019,,REPROVADO POR FALTA
Hugo Nicolas,Interacao Tangivel,Gustavo Martins,2019,,REPROVADO POR FALTA
Isadora Mariana,Computacao Grafica,,2015,7.75,APROVADO POR MÉDIA
Isadora Mariana,DESVINCULADO,,2016,,
Isadora Mariana,Design Colaborativo,,2015,5.0,APROVADO
Isadora Mariana,Design de Experiencia em Museus,,2015,,REPROVADO POR FALTA
Isadora Mariana,Design de Interfaces Neuromorficas,,2015,,REPROVADO POR FALTA
Isadora Mariana,Design de Mobiliario,,2015,,APROVADO POR FREQÜÊNCIA
Isadora Mariana,Design de Tecnologia Vestivel (Wearable),,2015,7.0,APROVADO POR MÉDIA
Isadora Mariana,Design de Visualizacao de Informacoes,,2015,9.5,APROVADO POR MÉDIA
Isadora Mariana,Design para Longevidade,,2015,,REPROVADO POR FALTA
Isadora Mariana,Design para Longevidade,,2015,,REPROVADO POR FALTA
Isadora Mariana,Ergonomia,,2015,,REPROVADO POR FALTA
Isadora Mariana,Identidade Visual,,2015,9.5,APROVADO POR MÉDIA
Isadora Mariana,Projeto Integrado,,2015,2.55,REPROVADO
Isadora Mariana,Storytelling Visual,,2015,7.0,APROVADO POR MÉDIA
Laura Emilly,Branding,,2007,9.25,APROVADO POR MÉDIA
Laura Emilly,Computacao Grafica,,2006,8.3,APROVADO POR MÉDIA
Laura Emilly,Comunicacao Visual,,2009,9.5,APROVADO POR MÉDIA
Laura Emilly,Cultura Visual,,2008,10.0,APROVADO POR MÉDIA
Laura Emilly,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO
Laura Emilly,Design Biomimetico,,2008,8.0,APROVADO POR MÉDIA
Laura Emilly,Design Cenico,,2008,7.75,APROVADO POR MÉDIA
Laura Emilly,Design Cibernetico,,2007,8.5,APROVADO POR MÉDIA
Laura Emilly,Design Colaborativo,,2006,8.4,APROVADO POR MÉDIA
Laura Emilly,Design Computacional,,2008,9.5,APROVADO POR MÉDIA
Laura Emilly,Design Digital,,2008,7.5,APROVADO POR MÉDIA
Laura Emilly,Design Experimental,,2008,7.0,APROVADO POR MÉDIA
Laura Emilly,Design Parametrico,,2008,8.7,APROVADO POR MÉDIA
Laura Emilly,Design Sonoro,,2009,7.75,APROVADO POR MÉDIA
Laura Emilly,Design Thinking,,2007,8.75,APROVADO POR MÉDIA
Laura Emilly,Design de Aprendizado,,2006,7.5,APROVADO POR MÉDIA
Laura Emilly,Design de Apresentacoes,,2009,7.5,APROVADO POR MÉDIA
Laura Emilly,Design de Espacos Virtuais,,2008,8.35,APROVADO POR MÉDIA
Laura Emilly,Design de Experiencia em Museus,,2006,8.6,APROVADO POR MÉDIA
Laura Emilly,Design de Impacto Social,,2009,6.5,APROVADO
Laura Emilly,Design de Interacao Corporal,,2008,9.0,APROVADO POR MÉDIA
Laura Emilly,Design de Interacao Cultural,,2007,9.75,APROVADO POR MÉDIA
Laura Emilly,Design de Interacao Tangivel,,2009,9.45,APROVADO POR MÉDIA
Laura Emilly,Design de Interacao em Tempo Real,,2007,8.1,APROVADO POR MÉDIA
Laura Emilly,Design de Interfaces Neuromorficas,,2006,8.2,APROVADO POR MÉDIA
Laura Emilly,Design de Joias,,2007,10.0,APROVADO POR MÉDIA
Laura Emilly,Design de Mobiliario,,2006,9.4,APROVADO POR MÉDIA
Laura Emilly,Design de Narrativa Espacial,,2008,8.4,APROVADO POR MÉDIA
Laura Emilly,Design de Produto,,2007,8.75,APROVADO POR MÉDIA
Laura Emilly,Design de Realidade Aumentada (AR) e Virtual (VR),,2007,7.7,APROVADO POR MÉDIA
Laura Emilly,Design de Redes Sociais,,2009,9.48,APROVADO POR MÉDIA
Laura Emilly,Design de Tecnologia Vestivel (Wearable),,2006,9.5,APROVADO POR MÉDIA
Laura Emilly,Design de Visualizacao de Informacoes,,2006,9.25,APROVADO POR MÉDIA
Laura Emilly,Design para Longevidade,,2006,9.0,APROVADO POR MÉDIA
Laura Emilly,Ecodesign,,2007,8.85,APROVADO POR MÉDIA
Laura Emilly,Ergonomia,,2006,9.75,APROVADO POR MÉDIA
Laura Emilly,Etica em Design,,2008,8.25,APROVADO POR MÉDIA
Laura Emilly,FORMADO,,2009,,
Laura Emilly,Gamificacao,,2007,9.35,APROVADO POR MÉDIA
Laura Emilly,Gestao de Marcas,,2008,9.25,APROVADO POR MÉDIA
Laura Emilly,INTEGRALIZADO,,2009,,
Laura Emilly,Identidade Visual,,2006,,APROVADO POR FREQÜÊNCIA
Laura Emilly,Impressao 3D,,2007,9.25,APROVADO POR MÉDIA
Laura Emilly,Interacao Tangivel,,2008,,APROVADO POR FREQÜÊNCIA
Laura Emilly,Manipulacao de Imagem,,2007,9.0,APROVADO POR MÉDIA
Laura Emilly,Marketing de Produto,,2007,9.5,APROVADO POR MÉDIA
Laura Emilly,Materiais e Processos,,2009,9.0,APROVADO POR MÉDIA
Laura Emilly,Modelagem 3D,,2009,8.6,APROVADO POR MÉDIA
Laura Emilly,Projeto Integrado,,2006,8.75,APROVADO POR MÉDIA
Laura Emilly,Prototipagem em Papel,,2007,8.9,APROVADO POR MÉDIA
Laura Emilly,SemiÃ³tica,,2009,9.0,APROVADO POR MÉDIA
Laura Emilly,Storytelling Visual,,2006,7.5,APROVADO POR MÉDIA
Laura Emilly,Tecnicas de Iluminacao,,2009,10.0,APROVADO POR MÉDIA
Laura Emilly,Teoria da Cor,,2009,8.75,APROVADO POR MÉDIA
Laura Emilly,Teoria do Design,,2009,8.25,APROVADO POR MÉDIA
Laura Emilly,Tipografia,,2007,7.45,APROVADO POR MÉDIA
Lorena Rodrigo,Computacao Grafica,Marcos Ferreira,2018,7.5,APROVADO POR MÉDIA
Lorena Rodrigo,Cultura Visual,Patricia Nunes,2018,,REPROVADO POR FALTA
Lorena Rodrigo,DESVINCULADO,,2019,,
Lorena Rodrigo,Design Colaborativo,Fernanda Lima,2018,2.0,REPROVADO
Lorena Rodrigo,Design de Mobiliario,Fernanda Lima,2018,9.2,APROVADO POR MÉDIA
Lorena Rodrigo,Design de Visualizacao de Informacoes,Andre Almeida,2018,1.76,REPROVADO
Lorena Rodrigo,Design para Longevidade,Marcos Ferreira,2018,2.76,REPROVADO
Lorena Rodrigo,Ergonomia,Pedro Oliveira,2018,,REPROVADO POR FALTA
Lorena Rodrigo,Identidade Visual,Joao Silva,2018,7.4,APROVADO POR MÉDIA
Lorena Rodrigo,Interacao Tangivel,Gustavo Martins,2018,,REPROVADO POR FALTA
Lorena Rodrigo,Storytelling Visual,Maria Santos,2018,7.25,APROVADO POR MÉDIA
Lorena Rodrigo,Teoria do Design,Marcos Ferreira,2018,,REPROVADO POR FALTA
Luca Lorena,Branding,,2012,7.45,APROVADO POR MÉDIA
Luca Lorena,Computacao Grafica,,2011,9.5,APROVADO POR MÉDIA
Luca Lorena,Comunicacao Visual,,2014,8.25,APROVADO POR MÉDIA
Luca Lorena,Cultura Visual,,2011,5.88,APROVADO
Luca Lorena,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO
Luca Lorena,Design Biomimetico,,2014,5.0,APROVADO
Luca Lorena,Design Biomimetico,,2014,,REPROVADO POR FALTA
Luca Lorena,Design Cenico,,2013,7.6,APROVADO POR MÉDIA
Luca Lorena,Design Cibernetico,,2013,8.0,APROVADO POR MÉDIA
Luca Lorena,Design Colaborativo,,2011,2.63,REPROVADO
Luca Lorena,Design Colaborativo,,2011,9.0,APROVADO POR MÉDIA
Luca Lorena,Design Computacional,,2013,9.75,APROVADO POR MÉDIA
Luca Lorena,Design Digital,,2013,8.5,APROVADO POR MÉDIA
Luca Lorena,Design Experimental,,2013,8.25,APROVADO POR MÉDIA
Luca Lorena,Design Parametrico,,2013,8.5,APROVADO POR MÉDIA
Luca Lorena,Design Thinking,,2012,7.0,APROVADO POR MÉDIA
Luca Lorena,Design de Aprendizado,,2012,8.5,APROVADO POR MÉDIA
Luca Lorena,Design de Apresentacoes,,2013,7.75,APROVADO POR MÉDIA
Luca Lorena,Design de Espacos Virtuais,,2013,7.5,APROVADO POR MÉDIA
Luca Lorena,Design de Experiencia em Museus,,2011,8.0,APROVADO POR MÉDIA
Luca Lorena,Design de Impacto Social,,2014,7.0,APROVADO POR MÉDIA
Luca Lorena,Design de Impressao e Publicacao,,2014,7.0,APROVADO POR MÉDIA
Luca Lorena,Design de Interacao Corporal,,2013,5.13,APROVADO
Luca Lorena,Design de Interacao Cultural,,2012,4.13,REPROVADO
Luca Lorena,Design de Interacao Cultural,,2013,7.25,APROVADO POR MÉDIA
Luca Lorena,Design de Interacao Tangivel,,2014,8.0,APROVADO POR MÉDIA
Luca Lorena,Design de Interacao Tangivel,,2014,,REPROVADO POR FALTA
Luca Lorena,Design de Interacao em Tempo Real,,2012,7.5,APROVADO POR MÉDIA
Luca Lorena,Design de Interfaces Neuromorficas,,2011,9.0,APROVADO POR MÉDIA
Luca Lorena,Design de Joias,,2011,8.8,APROVADO POR MÉDIA
Luca Lorena,Design de Mobiliario,,2011,,APROVADO POR FREQÜÊNCIA
Luca Lorena,Design de Moda,,2014,8.5,APROVADO POR MÉDIA
Luca Lorena,Design de Narrativa Espacial,,2013,9.3,APROVADO POR MÉDIA
Luca Lorena,Design de Produto,,2012,7.0,APROVADO POR MÉDIA
Luca Lorena,Design de Realidade Aumentada (AR) e Virtual (VR),,2012,7.25,APROVADO POR MÉDIA
Luca Lorena,Design de Redes Sociais,,2014,7.0,APROVADO POR MÉDIA
Luca Lorena,Design de Tecnologia Vestivel (Wearable),,2012,7.55,APROVADO POR MÉDIA
Luca Lorena,Design de Visualizacao de Informacoes,,2011,5.5,APROVADO
Luca Lorena,Design para Longevidade,,2011,9.0,APROVADO POR MÉDIA
Luca Lorena,Ecodesign,,2012,9.5,APROVADO POR MÉDIA
Luca Lorena,Ergonomia,,2011,7.75,APROVADO POR MÉDIA
Luca Lorena,Etica em Design,,2013,8.25,APROVADO POR MÉDIA
Luca Lorena,FORMADO,,2016,,
Luca Lorena,Gamificacao,,2011,9.5,APROVADO POR MÉDIA
Luca Lorena,Gestao de Marcas,,2013,9.15,APROVADO POR MÉDIA
Luca Lorena,INTEGRALIZADO,,2015,,
Luca Lorena,Identidade Visual,,2011,9.0,APROVADO POR MÉDIA
Luca Lorena,Impressao 3D,,2012,7.38,APROVADO POR MÉDIA
Luca Lorena,Interacao Tangivel,,2013,7.0,APROVADO POR MÉDIA
Luca Lorena,Manipulacao de Imagem,,2012,7.5,APROVADO POR MÉDIA
Luca Lorena,Marketing de Produto,,2012,7.5,APROVADO POR MÉDIA
Luca Lorena,Materiais e Processos,,2014,9.0,APROVADO POR MÉDIA
Luca Lorena,Projeto Integrado,,2012,8.75,APROVADO POR MÉDIA
Luca Lorena,Prototipagem em Papel,,2012,4.38,REPROVADO
Luca Lorena,Prototipagem em Papel,,2013,7.9,APROVADO POR MÉDIA
Luca Lorena,SemiÃ³tica,,2014,1.63,REPROVADO
Luca Lorena,SemiÃ³tica,,2014,7.0,APROVADO POR MÉDIA
Luca Lorena,Storytelling Visual,,2011,7.8,APROVADO POR MÉDIA
Luca Lorena,Tecnicas de Iluminacao,,2014,,REPROVADO POR FALTA
Luca Lorena,Tecnicas de Iluminacao,,2015,9.0,APROVADO POR MÉDIA
Luca Lorena,Tecnicas de Iluminacao,,2015,,REPROVADO POR FALTA
Luca Lorena,Teoria da Cor,,2014,8.0,APROVADO POR MÉDIA
Luca Lorena,Teoria do Design,,2014,7.0,APROVADO POR MÉDIA
Luca Lorena,Tipografia,,2012,7.0,APROVADO POR MÉDIA
Luciana Felipe,Branding,,2011,6.7,APROVADO
Luciana Felipe,Computacao Grafica,,2009,,REPROVADO POR FALTA
Luciana Felipe,Computacao Grafica,,2010,8.25,APROVADO POR MÉDIA
Luciana Felipe,Cultura Visual,,2011,9.5,APROVADO POR MÉDIA
Luciana Felipe,DESVINCULADO,,2010,,
Luciana Felipe,DESVINCULADO,,2012,,
Luciana Felipe,Design Colaborativo,,2009,,REPROVADO POR FALTA
Luciana Felipe,Design Colaborativo,,2010,,REPROVADO POR FALTA
Luciana Felipe,Design Colaborativo,,2011,3.08,REPROVADO
Luciana Felipe,Design Thinking,,2011,6.5,APROVADO
Luciana Felipe,Design de Apresentacoes,,2011,7.0,APROVADO POR MÉDIA
Luciana Felipe,Design de Interacao em Tempo Real,,2011,7.1,APROVADO POR MÉDIA
Luciana Felipe,Design de Joias,,2011,7.55,APROVADO POR MÉDIA
Luciana Felipe,Design de Mobiliario,,2009,,REPROVADO POR FALTA
Luciana Felipe,Design de Mobiliario,,2010,,APROVADO POR FREQÜÊNCIA
Luciana Felipe,Design de Produto,,2012,,REPROVADO POR FALTA
Luciana Felipe,Design de Visualizacao de Informacoes,,2009,,REPROVADO POR FALTA
Luciana Felipe,Design de Visualizacao de Informacoes,,2010,,REPROVADO POR FALTA
Luciana Felipe,Design de Visualizacao de Informacoes,,2011,1.88,REPROVADO
Luciana Felipe,Design de Visualizacao de Informacoes,,2011,,REPROVADO POR FALTA
Luciana Felipe,Design para Longevidade,,2009,,REPROVADO POR FALTA
Luciana Felipe,Design para Longevidade,,2010,4.0,REPROVADO
Luciana Felipe,Design para Longevidade,,2011,,REPROVADO POR FALTA
Luciana Felipe,Ergonomia,,2011,7.5,APROVADO POR MÉDIA
Luciana Felipe,Gamificacao,,2011,8.75,APROVADO POR MÉDIA
Luciana Felipe,Identidade Visual,,2009,,REPROVADO POR FALTA
Luciana Felipe,Identidade Visual,,2010,9.0,APROVADO POR MÉDIA
Luciana Felipe,REINTEGRAÇÃO,,2010,,
Luciana Felipe,Storytelling Visual,,2009,,REPROVADO POR FALTA
Luciana Felipe,Storytelling Visual,,2010,6.25,APROVADO
Luciana Luca,Computacao Grafica,Marcos Ferreira,2020,,REPROVADO POR FALTA
Luciana Luca,DESVINCULADO,,2020,,
Luciana Luca,Design Colaborativo,Fernanda Lima,2020,,REPROVADO POR FALTA
Luciana Luca,Design de Mobiliario,Fernanda Lima,2020,,REPROVADO POR FALTA
Luciana Luca,Design de Visualizacao de Informacoes,Andre Almeida,2020,,REPROVADO POR FALTA
Luciana Luca,Design para Longevidade,Marcos Ferreira,2020,,REPROVADO POR FALTA
Luciana Luca,Identidade Visual,Joao Silva,2020,,REPROVADO POR FALTA
Luciana Luca,Storytelling Visual,Maria Santos,2020,,REPROVADO POR FALTA
Luiz Manuela,Branding,,2007,7.0,APROVADO POR MÉDIA
Luiz Manuela,Computacao Grafica,,2006,8.0,APROVADO POR MÉDIA
Luiz Manuela,Cultura Visual,,2008,8.0,APROVADO POR MÉDIA
Luiz Manuela,DESLIGAMENTO,,2012,,
Luiz Manuela,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO
Luiz Manuela,Design Biomimetico,,2010,,REPROVADO POR FALTA
Luiz Manuela,Design Cibernetico,,2008,,REPROVADO POR FALTA
Luiz Manuela,Design Cibernetico,,2008,,REPROVADO POR FALTA
Luiz Manuela,Design Colaborativo,,2006,7.0,APROVADO POR MÉDIA
Luiz Manuela,Design Parametrico,,2010,,REPROVADO POR FALTA
Luiz Manuela,Design Sonoro,,2010,,REPROVADO POR FALTA
Luiz Manuela,Design Sonoro,,2011,,REPROVADO POR FALTA
Luiz Manuela,Design Thinking,,2007,,REPROVADO POR FALTA
Luiz Manuela,Design Thinking,,2008,,CANCELADO COM ONUS
Luiz Manuela,Design Thinking,,2011,,REPROVADO POR FALTA
Luiz Manuela,Design de Aprendizado,,2007,5.25,APROVADO
Luiz Manuela,Design de Apresentacoes,,2008,7.25,APROVADO POR MÉDIA
Luiz Manuela,Design de Experiencia em Museus,,2007,7.5,APROVADO POR MÉDIA
Luiz Manuela,Design de Interacao Cultural,,2008,,REPROVADO POR FALTA
Luiz Manuela,Design de Interacao Social,,2011,,REPROVADO POR FALTA
Luiz Manuela,Design de Interacao Tangivel,,2011,,REPROVADO POR FALTA
Luiz Manuela,Design de Interacao em Tempo Real,,2008,,REPROVADO POR FALTA
Luiz Manuela,Design de Interacao em Tempo Real,,2008,,REPROVADO POR FALTA
Luiz Manuela,Design de Interacao em Tempo Real,,2009,,REPROVADO POR FALTA
Luiz Manuela,Design de Interacao em Tempo Real,,2010,,REPROVADO POR FALTA
Luiz Manuela,Design de Interfaces Neuromorficas,,2007,7.0,APROVADO POR MÉDIA
Luiz Manuela,Design de Joias,,2007,6.5,APROVADO
Luiz Manuela,Design de Mobiliario,,2006,9.0,APROVADO POR MÉDIA
Luiz Manuela,Design de Produto,,2008,,REPROVADO POR FALTA
Luiz Manuela,Design de Produto,,2008,,REPROVADO POR FALTA
Luiz Manuela,Design de Produto,,2010,,REPROVADO POR FALTA
Luiz Manuela,Design de Tecnologia Vestivel (Wearable),,2007,6.7,APROVADO
Luiz Manuela,Design de Visualizacao de Informacoes,,2006,7.25,APROVADO POR MÉDIA
Luiz Manuela,Design para Longevidade,,2006,3.5,REPROVADO
Luiz Manuela,Design para Longevidade,,2009,1.88,REPROVADO
Luiz Manuela,Design para Longevidade,,2009,,REPROVADO POR FALTA
Luiz Manuela,Design para Longevidade,,2010,,REPROVADO POR FALTA
Luiz Manuela,Design para Longevidade,,2010,,REPROVADO POR FALTA
Luiz Manuela,Design para Longevidade,,2011,,REPROVADO POR FALTA
Luiz Manuela,Ecodesign,,2008,7.1,APROVADO POR MÉDIA
Luiz Manuela,Ergonomia,,2007,7.0,APROVADO POR MÉDIA
Luiz Manuela,Gamificacao,,2007,7.0,APROVADO POR MÉDIA
Luiz Manuela,Identidade Visual,,2006,7.0,APROVADO POR MÉDIA
Luiz Manuela,Impressao 3D,,2007,5.88,APROVADO
Luiz Manuela,Interacao Tangivel,,2008,,REPROVADO POR FALTA
Luiz Manuela,Manipulacao de Imagem,,2007,2.88,REPROVADO
Luiz Manuela,Manipulacao de Imagem,,2009,,REPROVADO POR FALTA
Luiz Manuela,Manipulacao de Imagem,,2010,,REPROVADO POR FALTA
Luiz Manuela,Projeto Integrado,,2007,,REPROVADO POR FALTA
Luiz Manuela,Projeto Integrado,,2008,,REPROVADO POR FALTA
Luiz Manuela,Projeto Integrado,,2009,2.5,REPROVADO
Luiz Manuela,Projeto Integrado,,2010,,REPROVADO POR FALTA
Luiz Manuela,Prototipagem em Papel,,2008,,REPROVADO POR FALTA
Luiz Manuela,Prototipagem em Papel,,2008,,REPROVADO POR FALTA
Luiz Manuela,Prototipagem em Papel,,2009,,REPROVADO POR FALTA
Luiz Manuela,Prototipagem em Papel,,2010,,REPROVADO POR FALTA
Luiz Manuela,Prototipagem em Papel,,2010,,REPROVADO POR FALTA
Luiz Manuela,Storytelling Visual,,2006,5.13,APROVADO
Luiz Manuela,Teoria do Design,,2008,,REPROVADO POR FALTA
Luiz Manuela,Teoria do Design,,2010,,REPROVADO POR FALTA
Luiz Manuela,Tipografia,,2007,5.0,APROVADO
Marcelo Laura,Computacao Grafica,,2008,,REPROVADO POR FALTA
Marcelo Laura,DESVINCULADO,,2010,,
Marcelo Laura,Design Colaborativo,,2008,,REPROVADO POR FALTA
Marcelo Laura,Design de Mobiliario,,2008,,REPROVADO POR FALTA
Marcelo Laura,Design de Visualizacao de Informacoes,,2008,,REPROVADO POR FALTA
Marcelo Laura,Design para Longevidade,,2008,,REPROVADO POR FALTA
Marcelo Laura,Identidade Visual,,2008,,REPROVADO POR FALTA
Marcelo Laura,Storytelling Visual,,2008,,REPROVADO POR FALTA
Maria Manuela,Branding,Rafaela Gomes,2019,7.25,APROVADO POR MÉDIA
Maria Manuela,Computacao Grafica,Marcos Ferreira,2018,7.5,APROVADO POR MÉDIA
Maria Manuela,Comunicacao Visual,Luiz Pereira,2021,8.5,APROVADO POR MÉDIA
Maria Manuela,Cultura Visual,Patricia Nunes,2018,8.0,APROVADO POR MÉDIA
Maria Manuela,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO
Maria Manuela,Design Biofilico,Ana Costa,2022,9.0,APROVADO POR MÉDIA
Maria Manuela,"Design Biomimetico

(DOUTORADO).",Carla Souza,2022,10.0,APROVADO POR MÉDIA
Maria Manuela,Design Cenico,Ana Costa,2021,8.0,APROVADO POR MÉDIA
Maria Manuela,Design Cibernetico,Joao Silva,2021,9.75,APROVADO POR MÉDIA
Maria Manuela,Design Colaborativo,Fernanda Lima,2018,2.75,REPROVADO
Maria Manuela,Design Colaborativo,Fernanda Lima,2019,7.28,APROVADO POR MÉDIA
Maria Manuela,Design Computacional,Maria Santos,2022,7.7,APROVADO POR MÉDIA
Maria Manuela,Design Experimental,Rafaela Gomes,2021,8.0,APROVADO POR MÉDIA
Maria Manuela,Design Parametrico,Juliana Rodrigues,2021,7.0,APROVADO POR MÉDIA
Maria Manuela,Design Sonoro,Patricia Nunes,2022,9.5,APROVADO POR MÉDIA
Maria Manuela,Design Thinking,Joao Silva,2019,8.0,APROVADO POR MÉDIA
Maria Manuela,Design de Aprendizado,Ana Costa,2019,,REPROVADO POR FALTA
Maria Manuela,Design de Aprendizado,Ana Costa,2020,7.0,APROVADO POR MÉDIA
Maria Manuela,Design de Apresentacoes,Diego Cardoso,2021,8.75,APROVADO POR MÉDIA
Maria Manuela,Design de Espacos Virtuais,Pedro Oliveira,2021,9.0,APROVADO POR MÉDIA
Maria Manuela,Design de Experiencia em Museus,Pedro Oliveira,2020,8.0,APROVADO POR MÉDIA
Maria Manuela,Design de Interacao Corporal,Fernanda Lima,2022,9.0,APROVADO POR MÉDIA
Maria Manuela,Design de Interacao Cultural,Gustavo Martins,2021,7.5,APROVADO POR MÉDIA
Maria Manuela,Design de Interacao Tangivel,Rafaela Gomes,2018,6.03,APROVADO
Maria Manuela,Design de Interacao em Tempo Real,Pedro Oliveira,2020,8.5,APROVADO POR MÉDIA
Maria Manuela,Design de Interfaces Neuromorficas,Marcos Ferreira,2020,7.65,APROVADO POR MÉDIA
Maria Manuela,Design de Joias,Gustavo Martins,2019,,REPROVADO POR FALTA
Maria Manuela,Design de Joias,Gustavo Martins,2020,10.0,APROVADO POR MÉDIA
Maria Manuela,Design de Mobiliario,Fernanda Lima,2018,9.6,APROVADO POR MÉDIA
Maria Manuela,Design de Narrativa Espacial,Ana Costa,2023,10.0,APROVADO POR MÉDIA
Maria Manuela,Design de Produto,Carla Souza,2019,8.0,APROVADO POR MÉDIA
Maria Manuela,Design de Realidade Aumentada (AR) e Virtual (VR),Juliana Rodrigues,2020,9.45,APROVADO POR MÉDIA
Maria Manuela,Design de Realidade Hibrida,Pedro Oliveira,2021,9.5,APROVADO POR MÉDIA
Maria Manuela,Design de Realidade Simulada,Larissa Vieira,2022,10.0,APROVADO POR MÉDIA
Maria Manuela,Design de Redes Sociais,Larissa Vieira,2023,9.25,APROVADO POR MÉDIA
Maria Manuela,Design de Tecnologia Vestivel (Wearable),Andre Almeida,2019,7.75,APROVADO POR MÉDIA
Maria Manuela,Design de Visualizacao de Informacoes,Andre Almeida,2018,,REPROVADO POR FALTA
Maria Manuela,Design de Visualizacao de Informacoes,Andre Almeida,2019,3.63,REPROVADO
Maria Manuela,Design de Visualizacao de Informacoes,Andre Almeida,2019,6.07,APROVADO
Maria Manuela,Design para Longevidade,Marcos Ferreira,2018,2.3,REPROVADO
Maria Manuela,Design para Longevidade,Marcos Ferreira,2020,9.61,APROVADO POR MÉDIA
Maria Manuela,Ecodesign,Diego Cardoso,2020,9.8,APROVADO POR MÉDIA
Maria Manuela,Ergonomia,Pedro Oliveira,2018,9.75,APROVADO POR MÉDIA
Maria Manuela,Etica em Design,,2020,10.0,APROVADO POR MÉDIA
Maria Manuela,Gamificacao,Luiz Pereira,2019,7.1,APROVADO POR MÉDIA
Maria Manuela,Gestao de Marcas,Maria Santos,2020,8.0,APROVADO POR MÉDIA
Maria Manuela,Identidade Visual,Joao Silva,2018,7.0,APROVADO POR MÉDIA
Maria Manuela,Impressao 3D,Marcos Ferreira,2020,10.0,APROVADO POR MÉDIA
Maria Manuela,Interacao Tangivel,Gustavo Martins,2018,9.0,APROVADO POR MÉDIA
Maria Manuela,Manipulacao de Imagem,Diego Cardoso,2021,9.0,APROVADO POR MÉDIA
Maria Manuela,Marketing de Produto,Carla Souza,2020,9.55,APROVADO POR MÉDIA
Maria Manuela,Materiais e Processos,Juliana Rodrigues,2022,10.0,APROVADO POR MÉDIA
Maria Manuela,Projeto Integrado,Fernanda Lima,2019,4.22,REPROVADO
Maria Manuela,Projeto Integrado,Fernanda Lima,2020,7.85,APROVADO POR MÉDIA
Maria Manuela,Prototipagem em Papel,Juliana Rodrigues,2021,8.0,APROVADO POR MÉDIA
Maria Manuela,SemiÃ³tica,Luiz Pereira,2018,9.0,APROVADO POR MÉDIA
Maria Manuela,Storytelling Visual,Maria Santos,2018,8.25,APROVADO POR MÉDIA
Maria Manuela,Tecnicas de Iluminacao,,2023,,CURSANDO
Maria Manuela,Teoria da Cor,,2023,,CURSANDO
Maria Manuela,Teoria do Design,Marcos Ferreira,2018,7.38,APROVADO POR MÉDIA
Maria Manuela,Tipografia,Joao Silva,2021,9.85,APROVADO POR MÉDIA
Matheus Mauricio,Branding,,2006,7.25,APROVADO POR MÉDIA
Matheus Mauricio,Computacao Grafica,,2005,10.0,APROVADO POR MÉDIA
Matheus Mauricio,Comunicacao Visual,,2008,9.5,APROVADO POR MÉDIA
Matheus Mauricio,Cultura Visual,,2007,9.05,APROVADO POR MÉDIA
Matheus Mauricio,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO
Matheus Mauricio,Design Biomimetico,,2008,10.0,APROVADO POR MÉDIA
Matheus Mauricio,Design Cenico,,2008,7.25,APROVADO POR MÉDIA
Matheus Mauricio,Design Cibernetico,,2007,9.1,APROVADO POR MÉDIA
Matheus Mauricio,Design Colaborativo,,2005,7.15,APROVADO POR MÉDIA
Matheus Mauricio,Design Computacional,,2008,9.08,APROVADO POR MÉDIA
Matheus Mauricio,Design Digital,,2008,7.0,APROVADO POR MÉDIA
Matheus Mauricio,Design Experimental,,2007,8.8,APROVADO POR MÉDIA
Matheus Mauricio,Design Parametrico,,2007,7.95,APROVADO POR MÉDIA
Matheus Mauricio,Design Thinking,,2007,7.0,APROVADO POR MÉDIA
Matheus Mauricio,Design de Aprendizado,,2005,7.25,APROVADO POR MÉDIA
Matheus Mauricio,Design de Apresentacoes,,2007,8.75,APROVADO POR MÉDIA
Matheus Mauricio,Design de Espacos Virtuais,,2007,7.15,APROVADO POR MÉDIA
Matheus Mauricio,Design de Experiencia em Museus,,2005,9.25,APROVADO POR MÉDIA
Matheus Mauricio,Design de Impressao e Publicacao,,2009,9.65,APROVADO POR MÉDIA
Matheus Mauricio,Design de Interacao Corporal,,2008,7.1,APROVADO POR MÉDIA
Matheus Mauricio,Design de Interacao Cultural,,2007,7.25,APROVADO POR MÉDIA
