nome,codigo,disciplina,nota,situacao
Elisa Valentina,RJGL2456,Design Colaborativo,10.00,APROVADO POR MÉDIA
Elisa Valentina,JGDZ1333,Gamificacao,6.45,APROVADO
Elisa Valentina,TSYB3211,Impressao 3D,10.00,APROVADO POR MÉDIA
Elisa Valentina,VOQA5582,Tipografia,,REPROVADO POR FALTA
Elisa Valentina,BLDG0260,Design de Joias,10.00,APROVADO POR MÉDIA
Elisa Valentina,KAWV5083,Branding,7.00,APROVADO POR MÉDIA
Elisa Valentina,DOMK5241,Design de Aprendizado,8.23,APROVADO POR MÉDIA
Elisa Valentina,COOQ5695,Design de Interacao em Tempo Real,8.50,APROVADO POR MÉDIA
Elisa Valentina,VFBH8799,Design Cibernetico,8.65,APROVADO POR MÉDIA
Elisa Valentina,ZULH9584,Projeto Integrado,8.75,APROVADO POR MÉDIA
Elisa Valentina,WPUV3332,Design de Tecnologia Vestivel (Wearable),7.40,APROVADO
Elisa Valentina,JVFQ7338,Design de Interacao Cultural,7.75,APROVADO POR MÉDIA
Elisa Valentina,QVGO0107,Prototipagem em Papel,7.25,APROVADO POR MÉDIA
Elisa Valentina,MAEY1044,Design Computacional,10.00,APROVADO POR MÉDIA
Elisa Valentina,SATJ7970,Design de Narrativa Espacial,9.00,APROVADO POR MÉDIA
Elisa Valentina,VOQA5582,Tipografia,8.60,APROVADO POR MÉDIA
Elisa Valentina,FZLO1427,Marketing de Produto,9.55,APROVADO POR MÉDIA
Elisa Valentina,JJNT2088,Manipulacao de Imagem,8.95,APROVADO POR MÉDIA
Elisa Valentina,TPYC6338,Design Thinking,8.50,APROVADO POR MÉDIA
Elisa Valentina,IENT5068,Design Experimental,7.75,APROVADO POR MÉDIA
Elisa Valentina,KZBU0327,Design de Interacao Corporal,9.50,APROVADO POR MÉDIA
Elisa Valentina,LERH6635,Design de Produto,9.00,APROVADO POR MÉDIA
Elisa Valentina,RRME1020,Design Parametrico,9.60,APROVADO POR MÉDIA
Elisa Valentina,NGVU3526,Ecodesign,9.80,APROVADO POR MÉDIA
Elisa Valentina,LLKP8902,Design Digital,9.20,APROVADO POR MÉDIA
Elisa Valentina,DZNQ4989,Design Cenico,10.00,APROVADO POR MÉDIA
Elisa Valentina,MXMO8868,Cultura Visual,9.50,APROVADO POR MÉDIA
Elisa Valentina,XERB6119,Gestao de Marcas,10.00,APROVADO POR MÉDIA
Elisa Valentina,AOXV5438,Design de Espacos Virtuais,9.50,APROVADO POR MÉDIA
Elisa Valentina,TRQX5862,Etica em Design,9.50,APROVADO POR MÉDIA
Elisa Valentina,CÓDIGO,NOME DA DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
Elisa Valentina,BMDH7993,Design de Apresentacoes,8.25,APROVADO POR MÉDIA
Elisa Valentina,RVMF0745,Design Biomimetico,,REPROVADO POR FALTA
Elisa Valentina,TWIP0018,Teoria da Cor,10.00,APROVADO POR MÉDIA
Elisa Valentina,RMDE3651,Teoria do Design,9.15,APROVADO POR MÉDIA
Elisa Valentina,DQUN5124,Comunicacao Visual,10.00,APROVADO POR MÉDIA
Elisa Valentina,LSHL3127,Design de Redes Sociais,10.00,APROVADO POR MÉDIA
Elisa Valentina,TOZF3011,SemiÃ³tica,8.00,APROVADO POR MÉDIA
Elisa Valentina,RVMF0745,Design Biomimetico,9.00,APROVADO POR MÉDIA
Elisa Valentina,VMGY1151,Design de Interacao Tangivel,7.00,APROVADO POR MÉDIA
Elisa Valentina,XYOT5349,Tecnicas de Iluminacao,,REPROVADO POR FALTA
Elisa Valentina,XYOT5349,Tecnicas de Iluminacao,,REPROVADO POR FALTA
Elisa Valentina,XYOT5349,Tecnicas de Iluminacao,,REPROVADO POR FALTA
Joao Maria,OCRQ3517,Storytelling Visual,6.88,APROVADO
Joao Maria,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
Joao Maria,QBWW6998,Computacao Grafica,7.75,APROVADO POR MÉDIA
Joao Maria,UFMQ0127,Design para Longevidade,2.75,REPROVADO
Joao Maria,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
Joao Maria,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
Joao Maria,RJYZ5864,Identidade Visual,7.00,APROVADO POR MÉDIA
Joao Maria,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
Joao Maria,UFMQ0127,Design para Longevidade,7.50,APROVADO POR MÉDIA
Joao Maria,TPYC6338,Design Thinking,6.00,APROVADO
Joao Maria,JGDZ1333,Gamificacao,9.00,APROVADO POR MÉDIA
Joao Maria,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
Joao Maria,BMDH7993,Design de Apresentacoes,7.25,APROVADO POR MÉDIA
Joao Maria,BKII1063,Design de Visualizacao de Informacoes,8.50,APROVADO POR MÉDIA
Joao Maria,MXMO8868,Cultura Visual,7.00,APROVADO POR MÉDIA
Joao Maria,BLDG0260,Design de Joias,8.05,APROVADO POR MÉDIA
Joao Maria,AAZN5771,Ergonomia,7.50,APROVADO POR MÉDIA
Joao Maria,KAWV5083,Branding,,REPROVADO POR FALTA
Joao Maria,COOQ5695,Design de Interacao em Tempo Real,7.00,APROVADO POR MÉDIA
Joao Maria,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),7.63,APROVADO POR MÉDIA
Joao Maria,NRYN3294,Design de Interfaces Neuromorficas,4.88,REPROVADO
Joao Maria,NRCI1107,Design de Experiencia em Museus,1.75,REPROVADO
Joao Maria,KAWV5083,Branding,6.68,APROVADO
Joao Maria,RJGL2456,Design Colaborativo,1.65,REPROVADO
Joao Maria,NRYN3294,Design de Interfaces Neuromorficas,6.55,APROVADO
Joao Maria,NRCI1107,Design de Experiencia em Museus,9.50,APROVADO POR MÉDIA
Joao Maria,UXMU2899,Interacao Tangivel,8.50,APROVADO POR MÉDIA
Joao Maria,LERH6635,Design de Produto,7.00,APROVADO POR MÉDIA
Joao Maria,RRME1020,Design Parametrico,,REPROVADO POR FALTA
Joao Maria,TOZF3011,SemiÃ³tica,,REPROVADO POR FALTA
Joao Maria,RJGL2456,Design Colaborativo,5.38,APROVADO
Joao Maria,DZNQ4989,Design Cenico,,REPROVADO POR FALTA
Joao Maria,TSYB3211,Impressao 3D,7.13,APROVADO POR MÉDIA
Joao Maria,AOXV5438,Design de Espacos Virtuais,3.1,REPROVADO
Joao Maria,TRQX5862,Etica em Design,7.00,APROVADO POR MÉDIA
Joao Maria,DOMK5241,Design de Aprendizado,,REPROVADO POR FALTA
Joao Maria,VFBH8799,Design Cibernetico,7.00,APROVADO POR MÉDIA
Joao Maria,JJNT2088,Manipulacao de Imagem,,REPROVADO POR FALTA
Joao Maria,ZULH9584,Projeto Integrado,5.00,APROVADO
Joao Maria,WPUV3332,Design de Tecnologia Vestivel (Wearable),8.15,APROVADO POR MÉDIA
Joao Maria,RRME1020,Design Parametrico,7.50,APROVADO POR MÉDIA
Joao Maria,CÓDIGO,NOME DA DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
Joao Maria,NGVU3526,Ecodesign,5.15,APROVADO
Joao Maria,MAEY1044,Design Computacional,6.05,APROVADO
Joao Maria,JJNT2088,Manipulacao de Imagem,5.40,APROVADO
Joao Maria,RVMF0745,Design Biomimetico,9.00,APROVADO POR MÉDIA
Joao Maria,VOQA5582,Tipografia,,REPROVADO POR FALTA
Joao Maria,QVGO0107,Prototipagem em Papel,4.25,REPROVADO
Joao Maria,FZLO1427,Marketing de Produto,,REPROVADO POR FALTA
Joao Maria,AOXV5438,Design de Espacos Virtuais,2.75,REPROVADO
Joao Maria,JVFQ7338,Design de Interacao Cultural,6.13,APROVADO
Joao Maria,VOQA5582,Tipografia,3.88,REPROVADO
Joao Maria,RMDE3651,Teoria do Design,7.60,APROVADO POR MÉDIA
Joao Maria,QVGO0107,Prototipagem em Papel,8.25,APROVADO POR MÉDIA
Joao Maria,FZLO1427,Marketing de Produto,8.17,APROVADO POR MÉDIA
Joao Maria,TOZF3011,SemiÃ³tica,,REPROVADO POR FALTA
Joao Maria,SATJ7970,Design de Narrativa Espacial,8.75,APROVADO POR MÉDIA
Joao Maria,LLKP8902,Design Digital,8.63,APROVADO POR MÉDIA
Joao Maria,IENT5068,Design Experimental,7.75,APROVADO POR MÉDIA
Joao Maria,DZNQ4989,Design Cenico,8.25,APROVADO POR MÉDIA
Joao Maria,VOQA5582,Tipografia,4.4,REPROVADO
Joao Maria,KZBU0327,Design de Interacao Corporal,6.75,APROVADO
Joao Maria,XERB6119,Gestao de Marcas,1.25,REPROVADO
Joao Maria,VMGY1151,Design de Interacao Tangivel,6.75,APROVADO
Joao Maria,TOZF3011,SemiÃ³tica,8.50,APROVADO POR MÉDIA
Joao Maria,DOMK5241,Design de Aprendizado,4.03,REPROVADO
Joao Maria,XERB6119,Gestao de Marcas,5.57,APROVADO
Joao Maria,XYOT5349,Tecnicas de Iluminacao,,REPROVADO POR FALTA
Joao Maria,TWIP0018,Teoria da Cor,9.00,APROVADO POR MÉDIA
Joao Maria,VOQA5582,Tipografia,8.00,APROVADO POR MÉDIA
Joao Maria,DQUN5124,Comunicacao Visual,8.00,APROVADO POR MÉDIA
Joao Maria,LSHL3127,Design de Redes Sociais,7.00,APROVADO POR MÉDIA
Joao Maria,AOXV5438,Design de Espacos Virtuais,8.00,APROVADO POR MÉDIA
Joao Maria,DOMK5241,Design de Aprendizado,7.50,APROVADO POR MÉDIA
Joao Maria,XYOT5349,Tecnicas de Iluminacao,9.00,APROVADO POR MÉDIA
Joao Maria,,INTEGRALIZADO,,
Joao Maria,,FORMADO,,
Joao Maria,PBCQ5148,Design de Impressao e Publicacao,7.90,APROVADO POR MÉDIA
Joao Maria,WWGS2880,Design de Realidade Hibrida,7.32,APROVADO POR MÉDIA
Joao Maria,VNBQ5535,Design de Moda,8.25,APROVADO POR MÉDIA
Joao Maria,TLQG8423,Design Biofilico,8.00,APROVADO POR MÉDIA
Joao Maria,CÓDIGO,NOME DA DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
Joao Maria,OCRQ3517,Storytelling Visual,5.03,APROVADO
Joao Maria,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
Joao Maria,QBWW6998,Computacao Grafica,8.75,APROVADO POR MÉDIA
Joao Maria,UFMQ0127,Design para Longevidade,7.00,APROVADO POR MÉDIA
Joao Maria,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
Joao Maria,BKII1063,Design de Visualizacao de Informacoes,1.5,REPROVADO
Joao Maria,RJYZ5864,Identidade Visual,7.75,APROVADO POR MÉDIA
Joao Maria,RJGL2456,Design Colaborativo,3.70,REPROVADO
Joao Maria,TPYC6338,Design Thinking,7.75,APROVADO POR MÉDIA
Joao Maria,JGDZ1333,Gamificacao,,REPROVADO POR FALTA
Joao Maria,BKII1063,Design de Visualizacao de Informacoes,4.5,REPROVADO
Joao Maria,MXMO8868,Cultura Visual,7.50,APROVADO POR MÉDIA
Joao Maria,BLDG0260,Design de Joias,7.00,APROVADO POR MÉDIA
Joao Maria,AAZN5771,Ergonomia,6.07,APROVADO
Joao Maria,JGDZ1333,Gamificacao,7.00,APROVADO POR MÉDIA
Joao Maria,BKII1063,Design de Visualizacao de Informacoes,8.00,APROVADO POR MÉDIA
Guilherme Juliana,OCRQ3517,Storytelling Visual,7.00,APROVADO POR MÉDIA
Guilherme Juliana,RJGL2456,Design Colaborativo,5.72,APROVADO
Guilherme Juliana,QBWW6998,Computacao Grafica,7.75,APROVADO POR MÉDIA
Guilherme Juliana,UFMQ0127,Design para Longevidade,7.50,APROVADO POR MÉDIA
Guilherme Juliana,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
Guilherme Juliana,BKII1063,Design de Visualizacao de Informacoes,8.40,APROVADO POR MÉDIA
Guilherme Juliana,RJYZ5864,Identidade Visual,7.63,APROVADO
Guilherme Juliana,DOMK5241,Design de Aprendizado,8.00,APROVADO POR MÉDIA
Guilherme Juliana,ZULH9584,Projeto Integrado,7.00,APROVADO POR MÉDIA
Guilherme Juliana,WPUV3332,Design de Tecnologia Vestivel (Wearable),7.00,APROVADO POR MÉDIA
Guilherme Juliana,NRYN3294,Design de Interfaces Neuromorficas,6.20,APROVADO
Guilherme Juliana,NRCI1107,Design de Experiencia em Museus,5.50,APROVADO
Guilherme Juliana,AAZN5771,Ergonomia,8.75,APROVADO POR MÉDIA
Guilherme Juliana,JJNT2088,Manipulacao de Imagem,7.60,APROVADO POR MÉDIA
Guilherme Juliana,RVMF0745,Design Biomimetico,8.50,APROVADO POR MÉDIA
Guilherme Juliana,JGDZ1333,Gamificacao,9.00,APROVADO POR MÉDIA
Guilherme Juliana,TSYB3211,Impressao 3D,9.48,APROVADO POR MÉDIA
Guilherme Juliana,VOQA5582,Tipografia,7.00,APROVADO POR MÉDIA
Guilherme Juliana,BLDG0260,Design de Joias,8.90,APROVADO POR MÉDIA
Guilherme Juliana,FZLO1427,Marketing de Produto,7.50,APROVADO POR MÉDIA
Guilherme Juliana,KAWV5083,Branding,7.50,APROVADO POR MÉDIA
Guilherme Juliana,NGVU3526,Ecodesign,7.25,APROVADO POR MÉDIA
Guilherme Juliana,COOQ5695,Design de Interacao em Tempo Real,9.05,APROVADO POR MÉDIA
Guilherme Juliana,VFBH8799,Design Cibernetico,7.25,APROVADO POR MÉDIA
Guilherme Juliana,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),8.75,APROVADO POR MÉDIA
Guilherme Juliana,JVFQ7338,Design de Interacao Cultural,9.25,APROVADO POR MÉDIA
Guilherme Juliana,QVGO0107,Prototipagem em Papel,7.88,APROVADO POR MÉDIA
Guilherme Juliana,LERH6635,Design de Produto,7.25,APROVADO POR MÉDIA
Guilherme Juliana,MAEY1044,Design Computacional,8.30,APROVADO POR MÉDIA
Guilherme Juliana,SATJ7970,Design de Narrativa Espacial,9.20,APROVADO POR MÉDIA
Guilherme Juliana,TPYC6338,Design Thinking,7.00,APROVADO POR MÉDIA
Guilherme Juliana,IENT5068,Design Experimental,8.50,APROVADO POR MÉDIA
Guilherme Juliana,KZBU0327,Design de Interacao Corporal,,REPROVADO POR FALTA
Guilherme Juliana,AOXV5438,Design de Espacos Virtuais,7.60,APROVADO POR MÉDIA
Guilherme Juliana,RRME1020,Design Parametrico,7.00,APROVADO POR MÉDIA
Guilherme Juliana,LLKP8902,Design Digital,8.80,APROVADO POR MÉDIA
Guilherme Juliana,DZNQ4989,Design Cenico,5.45,APROVADO
Guilherme Juliana,MXMO8868,Cultura Visual,7.45,APROVADO POR MÉDIA
Guilherme Juliana,KZBU0327,Design de Interacao Corporal,7.00,APROVADO POR MÉDIA
Guilherme Juliana,XERB6119,Gestao de Marcas,6.32,APROVADO
Guilherme Juliana,UXMU2899,Interacao Tangivel,8.00,APROVADO POR MÉDIA
Guilherme Juliana,TRQX5862,Etica em Design,8.50,APROVADO POR MÉDIA
Guilherme Juliana,CÓDIGO,NOME DA DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
Guilherme Juliana,BMDH7993,Design de Apresentacoes,9.00,APROVADO POR MÉDIA
Guilherme Juliana,TWIP0018,Teoria da Cor,7.00,APROVADO POR MÉDIA
Guilherme Juliana,RMDE3651,Teoria do Design,8.00,APROVADO POR MÉDIA
Guilherme Juliana,DQUN5124,Comunicacao Visual,7.50,APROVADO POR MÉDIA
Guilherme Juliana,LSHL3127,Design de Redes Sociais,2.88,REPROVADO
Guilherme Juliana,TOZF3011,SemiÃ³tica,7.10,APROVADO POR MÉDIA
Guilherme Juliana,VMGY1151,Design de Interacao Tangivel,10.00,APROVADO POR MÉDIA
Guilherme Juliana,LSHL3127,Design de Redes Sociais,5.00,APROVADO
Guilherme Juliana,XYOT5349,Tecnicas de Iluminacao,9.00,APROVADO POR MÉDIA
Guilherme Juliana,,INTEGRALIZADO,,
Guilherme Juliana,,FORMADO,,
Caua Guilherme,OCRQ3517,Storytelling Visual,8.30,APROVADO POR MÉDIA
Caua Guilherme,RJGL2456,Design Colaborativo,2.6,REPROVADO
Caua Guilherme,QBWW6998,Computacao Grafica,9.20,APROVADO POR MÉDIA
Caua Guilherme,UFMQ0127,Design para Longevidade,6.00,APROVADO
Caua Guilherme,MKUB0718,Design de Mobiliario,7.00,APROVADO POR MÉDIA
Caua Guilherme,BKII1063,Design de Visualizacao de Informacoes,7.25,APROVADO POR MÉDIA
Caua Guilherme,RJYZ5864,Identidade Visual,,APROVADO POR FREQÜÊNCIA
Caua Guilherme,RJGL2456,Design Colaborativo,5.95,APROVADO
Caua Guilherme,NRYN3294,Design de Interfaces Neuromorficas,2.88,REPROVADO
Caua Guilherme,NRCI1107,Design de Experiencia em Museus,7.00,APROVADO POR MÉDIA
Caua Guilherme,AAZN5771,Ergonomia,7.00,APROVADO POR MÉDIA
Caua Guilherme,ZULH9584,Projeto Integrado,5.00,APROVADO
Caua Guilherme,WPUV3332,Design de Tecnologia Vestivel (Wearable),7.00,APROVADO POR MÉDIA
Caua Guilherme,JGDZ1333,Gamificacao,7.75,APROVADO POR MÉDIA
Caua Guilherme,NRYN3294,Design de Interfaces Neuromorficas,5.00,APROVADO
Caua Guilherme,BLDG0260,Design de Joias,7.00,APROVADO POR MÉDIA
Caua Guilherme,KAWV5083,Branding,7.00,APROVADO POR MÉDIA
Caua Guilherme,NGVU3526,Ecodesign,8.00,APROVADO POR MÉDIA
Caua Guilherme,DOMK5241,Design de Aprendizado,7.00,APROVADO POR MÉDIA
Caua Guilherme,COOQ5695,Design de Interacao em Tempo Real,7.70,APROVADO POR MÉDIA
Caua Guilherme,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),8.50,APROVADO POR MÉDIA
Caua Guilherme,TSYB3211,Impressao 3D,5.25,APROVADO
Caua Guilherme,VOQA5582,Tipografia,4.25,REPROVADO
Caua Guilherme,FZLO1427,Marketing de Produto,6.13,APROVADO
Caua Guilherme,VFBH8799,Design Cibernetico,7.90,APROVADO POR MÉDIA
Caua Guilherme,TPYC6338,Design Thinking,7.00,APROVADO POR MÉDIA
Caua Guilherme,QVGO0107,Prototipagem em Papel,9.00,APROVADO POR MÉDIA
Caua Guilherme,LERH6635,Design de Produto,9.00,APROVADO POR MÉDIA
Caua Guilherme,AOXV5438,Design de Espacos Virtuais,7.45,APROVADO POR MÉDIA
Caua Guilherme,MAEY1044,Design Computacional,5.75,APROVADO
Caua Guilherme,SATJ7970,Design de Narrativa Espacial,7.60,APROVADO POR MÉDIA
Caua Guilherme,LLKP8902,Design Digital,7.00,APROVADO POR MÉDIA
Caua Guilherme,IENT5068,Design Experimental,8.00,APROVADO POR MÉDIA
Caua Guilherme,DZNQ4989,Design Cenico,,REPROVADO POR FALTA
Caua Guilherme,XERB6119,Gestao de Marcas,7.00,APROVADO POR MÉDIA
Caua Guilherme,UXMU2899,Interacao Tangivel,,APROVADO POR FREQÜÊNCIA
Caua Guilherme,RRME1020,Design Parametrico,8.00,APROVADO POR MÉDIA
Caua Guilherme,TRQX5862,Etica em Design,8.50,APROVADO POR MÉDIA
Caua Guilherme,JJNT2088,Manipulacao de Imagem,5.00,APROVADO
Caua Guilherme,TWIP0018,Teoria da Cor,9.25,APROVADO POR MÉDIA
Caua Guilherme,VOQA5582,Tipografia,9.50,APROVADO POR MÉDIA
Caua Guilherme,KZBU0327,Design de Interacao Corporal,7.00,APROVADO POR MÉDIA
Caua Guilherme,CÓDIGO,NOME DA DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
Caua Guilherme,DQUN5124,Comunicacao Visual,7.00,APROVADO POR MÉDIA
Caua Guilherme,LSHL3127,Design de Redes Sociais,8.25,APROVADO POR MÉDIA
Caua Guilherme,TOZF3011,SemiÃ³tica,7.00,APROVADO POR MÉDIA
Caua Guilherme,BMDH7993,Design de Apresentacoes,7.00,APROVADO POR MÉDIA
Caua Guilherme,JVFQ7338,Design de Interacao Cultural,5.00,APROVADO
Caua Guilherme,DZNQ4989,Design Cenico,7.75,APROVADO POR MÉDIA
Caua Guilherme,MXMO8868,Cultura Visual,,DISPENSADO
Caua Guilherme,RMDE3651,Teoria do Design,,DISPENSADO
Caua Guilherme,VMGY1151,Design de Interacao Tangivel,8.50,APROVADO POR MÉDIA
Caua Guilherme,RVMF0745,Design Biomimetico,8.50,APROVADO POR MÉDIA
Caua Guilherme,XYOT5349,Tecnicas de Iluminacao,9.00,APROVADO POR MÉDIA
Caua Guilherme,,FORMADO,,
Julia Raul,OCRQ3517,Storytelling Visual,8.80,APROVADO POR MÉDIA
Julia Raul,RJGL2456,Design Colaborativo,7.00,APROVADO POR MÉDIA
Julia Raul,QBWW6998,Computacao Grafica,8.00,APROVADO POR MÉDIA
Julia Raul,UFMQ0127,Design para Longevidade,7.00,APROVADO POR MÉDIA
Julia Raul,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
Julia Raul,BKII1063,Design de Visualizacao de Informacoes,7.25,APROVADO
Julia Raul,RJYZ5864,Identidade Visual,9.25,APROVADO POR MÉDIA
Julia Raul,DOMK5241,Design de Aprendizado,7.00,APROVADO POR MÉDIA
Julia Raul,ZULH9584,Projeto Integrado,7.50,APROVADO POR MÉDIA
Julia Raul,WPUV3332,Design de Tecnologia Vestivel (Wearable),8.10,APROVADO POR MÉDIA
Julia Raul,NRYN3294,Design de Interfaces Neuromorficas,7.50,APROVADO POR MÉDIA
Julia Raul,NRCI1107,Design de Experiencia em Museus,8.50,APROVADO POR MÉDIA
Julia Raul,AAZN5771,Ergonomia,10.00,APROVADO POR MÉDIA
Julia Raul,JJNT2088,Manipulacao de Imagem,8.00,APROVADO POR MÉDIA
Julia Raul,JGDZ1333,Gamificacao,9.50,APROVADO POR MÉDIA
Julia Raul,TSYB3211,Impressao 3D,7.00,APROVADO POR MÉDIA
Julia Raul,VOQA5582,Tipografia,6.13,APROVADO
Julia Raul,BLDG0260,Design de Joias,9.00,APROVADO POR MÉDIA
Julia Raul,FZLO1427,Marketing de Produto,8.10,APROVADO POR MÉDIA
Julia Raul,KAWV5083,Branding,8.52,APROVADO POR MÉDIA
Julia Raul,IENT5068,Design Experimental,7.75,APROVADO POR MÉDIA
Julia Raul,XERB6119,Gestao de Marcas,7.50,APROVADO POR MÉDIA
Julia Raul,,TRANCAMENTO,,
Vinicius Roberto,OCRQ3517,Storytelling Visual,6.15,APROVADO
Vinicius Roberto,RJGL2456,Design Colaborativo,7.00,APROVADO POR MÉDIA
Vinicius Roberto,QBWW6998,Computacao Grafica,7.50,APROVADO POR MÉDIA
Vinicius Roberto,UFMQ0127,Design para Longevidade,7.00,APROVADO POR MÉDIA
Vinicius Roberto,MKUB0718,Design de Mobiliario,9.50,APROVADO POR MÉDIA
Vinicius Roberto,BKII1063,Design de Visualizacao de Informacoes,3.25,REPROVADO
Vinicius Roberto,RJYZ5864,Identidade Visual,6.78,APROVADO
Vinicius Roberto,DOMK5241,Design de Aprendizado,7.25,APROVADO POR MÉDIA
Vinicius Roberto,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
Vinicius Roberto,WPUV3332,Design de Tecnologia Vestivel (Wearable),8.70,APROVADO POR MÉDIA
Vinicius Roberto,BKII1063,Design de Visualizacao de Informacoes,5.00,APROVADO
Vinicius Roberto,ZULH9584,Projeto Integrado,3.00,REPROVADO
Vinicius Roberto,JGDZ1333,Gamificacao,8.00,APROVADO POR MÉDIA
Vinicius Roberto,NRYN3294,Design de Interfaces Neuromorficas,1.65,REPROVADO POR FALTA
Vinicius Roberto,NRCI1107,Design de Experiencia em Museus,7.00,APROVADO POR MÉDIA
Vinicius Roberto,BLDG0260,Design de Joias,7.00,APROVADO POR MÉDIA
Vinicius Roberto,AAZN5771,Ergonomia,5.03,APROVADO
Vinicius Roberto,KAWV5083,Branding,7.60,APROVADO POR MÉDIA
Pablo Michele,OCRQ3517,Storytelling Visual,8.00,APROVADO POR MÉDIA
Pablo Michele,RJGL2456,Design Colaborativo,7.30,APROVADO POR MÉDIA
Pablo Michele,QBWW6998,Computacao Grafica,9.75,APROVADO POR MÉDIA
Pablo Michele,UFMQ0127,Design para Longevidade,8.50,APROVADO POR MÉDIA
Pablo Michele,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
Pablo Michele,BKII1063,Design de Visualizacao de Informacoes,8.50,APROVADO POR MÉDIA
Pablo Michele,RJYZ5864,Identidade Visual,8.75,APROVADO POR MÉDIA
Pablo Michele,DOMK5241,Design de Aprendizado,8.00,APROVADO POR MÉDIA
Pablo Michele,ZULH9584,Projeto Integrado,8.55,APROVADO POR MÉDIA
Pablo Michele,WPUV3332,Design de Tecnologia Vestivel (Wearable),7.55,APROVADO POR MÉDIA
Pablo Michele,NRYN3294,Design de Interfaces Neuromorficas,5.95,APROVADO
Pablo Michele,NRCI1107,Design de Experiencia em Museus,6.20,APROVADO
Pablo Michele,AAZN5771,Ergonomia,8.75,APROVADO POR MÉDIA
Pablo Michele,JJNT2088,Manipulacao de Imagem,7.00,APROVADO POR MÉDIA
Pablo Michele,JGDZ1333,Gamificacao,10.00,APROVADO POR MÉDIA
Pablo Michele,TSYB3211,Impressao 3D,7.00,APROVADO POR MÉDIA
Pablo Michele,VOQA5582,Tipografia,7.00,APROVADO POR MÉDIA
Pablo Michele,BLDG0260,Design de Joias,9.45,APROVADO POR MÉDIA
Pablo Michele,FZLO1427,Marketing de Produto,8.00,APROVADO POR MÉDIA
Pablo Michele,KAWV5083,Branding,8.00,APROVADO POR MÉDIA
Pablo Michele,NGVU3526,Ecodesign,7.50,APROVADO POR MÉDIA
Pablo Michele,COOQ5695,Design de Interacao em Tempo Real,9.90,APROVADO POR MÉDIA
Pablo Michele,VFBH8799,Design Cibernetico,7.25,APROVADO POR MÉDIA
Pablo Michele,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),8.50,APROVADO POR MÉDIA
Pablo Michele,JVFQ7338,Design de Interacao Cultural,9.00,APROVADO POR MÉDIA
Pablo Michele,QVGO0107,Prototipagem em Papel,8.00,APROVADO POR MÉDIA
Pablo Michele,LERH6635,Design de Produto,8.50,APROVADO POR MÉDIA
Pablo Michele,MAEY1044,Design Computacional,9.10,APROVADO POR MÉDIA
Pablo Michele,SATJ7970,Design de Narrativa Espacial,9.20,APROVADO POR MÉDIA
Pablo Michele,TPYC6338,Design Thinking,8.50,APROVADO POR MÉDIA
Pablo Michele,IENT5068,Design Experimental,9.00,APROVADO POR MÉDIA
Pablo Michele,KZBU0327,Design de Interacao Corporal,5.13,APROVADO
Pablo Michele,AOXV5438,Design de Espacos Virtuais,8.90,APROVADO POR MÉDIA
Pablo Michele,RRME1020,Design Parametrico,8.00,APROVADO POR MÉDIA
Pablo Michele,RVMF0745,Design Biomimetico,9.00,APROVADO POR MÉDIA
Pablo Michele,LLKP8902,Design Digital,8.70,APROVADO POR MÉDIA
Pablo Michele,DZNQ4989,Design Cenico,7.70,APROVADO POR MÉDIA
Pablo Michele,MXMO8868,Cultura Visual,9.00,APROVADO POR MÉDIA
Pablo Michele,XERB6119,Gestao de Marcas,7.00,APROVADO POR MÉDIA
Pablo Michele,UXMU2899,Interacao Tangivel,8.00,APROVADO POR MÉDIA
Pablo Michele,TRQX5862,Etica em Design,9.75,APROVADO POR MÉDIA
Pablo Michele,TOZF3011,SemiÃ³tica,7.40,APROVADO POR MÉDIA
Pablo Michele,CÓDIGO,NOME DA DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
Pablo Michele,BMDH7993,Design de Apresentacoes,9.50,APROVADO POR MÉDIA
Pablo Michele,TWIP0018,Teoria da Cor,8.50,APROVADO POR MÉDIA
Pablo Michele,RMDE3651,Teoria do Design,9.50,APROVADO POR MÉDIA
